koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_insol,koi_model_snr
CANDIDATE,CANDIDATE,0.545,3.17405898,357.05776,0.422,2.3156,2.82E+02,2.09,780.46,29.2
CONFIRMED,CANDIDATE,1,2.1395563,133.65392,0.368,2.0678,2.66E+02,1.76,974.3,48.9
CONFIRMED,CANDIDATE,1,4.807103254,134.640371,0.94,0.9393,4.51E+02,2.96,330.84,32.9
CONFIRMED,CANDIDATE,1,21.4054422,147.08981,0.943,11.721,4.09E+02,11.64,330,60.9
CONFIRMED,CANDIDATE,0.098,10.5007712,135.6479,0.034,14.522,1.83E+02,5.68,852.28,45.3
CONFIRMED,CANDIDATE,1,2.633852528,134.56431,0.204,2.0206,2.60E+02,1.38,387.43,23.3
CONFIRMED,CANDIDATE,0.978,6.18670882,136.63308,0.013,2.909,2.03E+02,1.21,123.96,14.3
CONFIRMED,CANDIDATE,1,1.796320953,133.33662,0.015,1.9139,2.11E+02,1.2,827.82,22.1
CONFIRMED,CANDIDATE,0.994,3.468073,136.00831,0.143,2.361,2.44E+02,1.29,343.57,20.6
CONFIRMED,CANDIDATE,0.95,5.9142668,133.49193,0.04,2.661,2.53E+02,1.31,168.51,17.4
CONFIRMED,CANDIDATE,1,14.00640392,142.20885,0.568,4.6919,7.16E+02,3.11,100.09,109.3
CONFIRMED,CANDIDATE,1,3.546531809,134.90127,0.633,2.2746,4.43E+02,2.18,510.26,26.4
CONFIRMED,CANDIDATE,0.983,5.70070626,132.69229,0.664,1.6408,3.80E+02,2.03,270.62,15.2
CONFIRMED,CANDIDATE,1,20.8341497,186.03921,0.269,4.522,8.03E+02,2.26,23.82,26.2
CONFIRMED,CANDIDATE,1,7.0556584,181.91205,0.301,3.0479,7.06E+02,2.13,100.88,32.1
CONFIRMED,CANDIDATE,1,10.47548084,152.64165,0.664,2.3024,1.07E+03,2.11,20.15,40.3
CONFIRMED,CANDIDATE,1,22.92886314,143.86271,0.805,2.0831,9.09E+02,2.08,7.09,21.3
CONFIRMED,CANDIDATE,0.996,77.4740991,184.24533,0.758,4.168,1.54E+03,2.63,1.4,27.5
CANDIDATE,CANDIDATE,0.998,345.1589354,318.307719,0.87,7.5646,5.09E+03,7.79,0.8,197.9
CONFIRMED,CANDIDATE,1,6.88595222,138.40761,0.953,4.148,4.29E+02,2.68,189.35,34.5
CANDIDATE,CANDIDATE,1,99.6442783,283.236289,0.966,5.1772,3.22E+03,8.48,6.98,163.2
FALSE POSITIVE,FALSE POSITIVE,0,3.125814002,356.41184,0.506,1.7895,2.39E+02,1.88,1073.04,32
CONFIRMED,CANDIDATE,1,5.660669429,137.416045,0.477,4.6483,7.38E+02,3.24,365.53,201.1
FALSE POSITIVE,FALSE POSITIVE,0,10.80487163,134.09498,0.207,2.7215,2.93E+02,1.71,127.84,27.4
CONFIRMED,CANDIDATE,1,13.71938426,140.74483,0.022,5.5677,3.16E+02,1.98,131.94,48.3
CONFIRMED,CANDIDATE,0.91,29.2214959,139.32807,0.779,4.014,3.94E+02,1.81,20.03,14.6
CONFIRMED,CANDIDATE,0.999,44.8520997,172.46196,0.807,3.5729,7.81E+02,3.35,16.35,33
CONFIRMED,CANDIDATE,1,20.34237838,137.6952,0.826,2.3351,5.65E+02,2.88,46.93,28.7
CONFIRMED,CANDIDATE,0.997,118.3786735,287.28744,0.011,9.5574,1.08E+03,3.4,4.75,83.1
CONFIRMED,CANDIDATE,1,23.58444746,145.95798,0.711,5.5545,4.29E+02,3,66.96,42.8
CONFIRMED,CANDIDATE,1,11.97884409,178.96957,0.073,3.751,7.08E+02,2.11,49.87,27.8
CONFIRMED,CANDIDATE,0.857,3.71545593,169.78318,0.327,2.558,3.32E+02,1.46,237.42,19.6
CONFIRMED,CANDIDATE,1,2.58083264,171.56048,0.16,2.1729,2.70E+02,1.31,386.18,17.5
FALSE POSITIVE,FALSE POSITIVE,0,1.487084251,133.97746,0.678,1.3233,2.96E+02,1.6,1076.29,17.9
CONFIRMED,CANDIDATE,1,19.25404023,164.78424,0.548,4.6509,9.88E+02,3.04,44.17,50.7
CONFIRMED,CANDIDATE,0.997,15.0549356,144.575,0.321,4.801,2.56E+02,1.6,66.72,16.6
CONFIRMED,CANDIDATE,0.999,2.92721119,133.82725,0.043,2.545,1.70E+02,1.29,593.23,18
CONFIRMED,CANDIDATE,0.998,38.2856338,143.2984,0.115,6.512,3.23E+02,1.77,19.24,15
CONFIRMED,CANDIDATE,1,19.80787763,139.37983,0.054,3.453,6.16E+02,2.08,35.89,20.1
CONFIRMED,CANDIDATE,0.996,2.343230566,133.20732,0.047,2.0424,2.47E+02,1.18,292.31,23.9
CANDIDATE,CANDIDATE,1,19.03723442,148.55057,0.033,3.3882,4.01E+02,5.74,288.04,25.3
FALSE POSITIVE,FALSE POSITIVE,0.483,2.73987398,134.5503077,0.703,4.15886,2.06E+04,34.83,4705.3,1454.3
FALSE POSITIVE,FALSE POSITIVE,0,5.801880653,357.453464,0.773,4.2608,4.19E+04,19.91,203.62,396.8
FALSE POSITIVE,FALSE POSITIVE,0,85.34092607,386.211642,12.773,10.6141,5.17E+04,1177.65,6.61,898.4
FALSE POSITIVE,FALSE POSITIVE,0,0.782045734,134.0214,1.244,1.7945,1.62E+04,45.05,4332.1,272.3
CANDIDATE,CANDIDATE,0,0.576078683,134.107265,1.113,1.63253,1.01E+04,23.23,3647.63,426
CONFIRMED,CANDIDATE,1,10.1171684,137.44489,0.296,4.6677,2.89E+02,3.07,433.41,50.6
CONFIRMED,CANDIDATE,1,19.12947603,139.4353,0.861,3.9622,4.51E+02,4.23,105.25,31.7
CONFIRMED,CANDIDATE,0.939,83.5781976,202.45865,0.544,7.2487,6.31E+02,6.63,43.62,54.9
CONFIRMED,CANDIDATE,1,6.1469956,135.07385,0.083,3.3153,2.50E+02,2.04,433.72,25.8
FALSE POSITIVE,FALSE POSITIVE,0,0.522457732,133.751976,0.967,0.8907,1.44E+02,1.52,6715.55,48.2
CONFIRMED,CANDIDATE,1,54.1558384,172.36559,0.927,4.432,1.11E+03,3.88,11.12,29.1
CONFIRMED,CANDIDATE,0.754,3.548465446,122.9014315,0.075,4.56904,7.25E+03,14.92,1708.28,2486.5
CONFIRMED,CANDIDATE,1,11.1199028,139.753524,0.72,3.3759,6.36E+02,2.08,42.07,100.3
CONFIRMED,CANDIDATE,1,0.567856484,134.063088,0.324,1.0258,3.35E+02,1.55,2760.23,53.8
FALSE POSITIVE,FALSE POSITIVE,0,251.0597249,230.027745,1.264,5.1095,7.42E+03,44.2,1.93,110.3
FALSE POSITIVE,FALSE POSITIVE,0,11.70219638,151.13414,1.166,2.6658,6.40E+02,16.15,63.16,41.3
CONFIRMED,CANDIDATE,1,40.7150498,146.56647,0.638,8.587,5.64E+02,2.2,16.76,56.4
CONFIRMED,CANDIDATE,1,10.44635944,133.27821,0.967,2.749,3.54E+02,2.18,102.77,34.4
CONFIRMED,CANDIDATE,1,2.508553286,135.0112,0.009,2.2664,2.12E+02,1.28,629.8,26.8
CONFIRMED,CANDIDATE,1,13.75129636,144.61389,0.359,3.853,3.49E+02,1.66,65.24,24.6
FALSE POSITIVE,FALSE POSITIVE,0,0.885747456,134.486834,1.205,4.4788,8.95E+02,269.98,142553.16,203.6
FALSE POSITIVE,FALSE POSITIVE,0,3.611541977,357.25064,1.254,8.6068,2.97E+03,28.07,240.29,167.1
CONFIRMED,CANDIDATE,0.68,8.041347775,143.038292,0.26,2.6332,5.91E+02,1.29,15.59,77.5
FALSE POSITIVE,FALSE POSITIVE,1,5.082722475,137.26075,0.019,5.9139,1.97E+03,4.4,296.94,95.5
CANDIDATE,CANDIDATE,0.436,78.9257421,429.37454,0.359,7.5193,1.80E+04,11.9,5.94,85.2
FALSE POSITIVE,FALSE POSITIVE,0,9.991625291,137.447816,1.256,3.8552,3.45E+03,38.93,160.14,220.3
CONFIRMED,CANDIDATE,0.997,8.57504983,140.14063,0.129,8.653,1.61E+02,4.26,841.68,36.9
CANDIDATE,CANDIDATE,1,6.84639884,133.76181,0.9,3.4919,1.50E+02,1.9,387.84,36.3
CANDIDATE,CANDIDATE,0.997,7.64970832,138.33113,0.898,6.625,5.54E+01,1.43,404.99,28.5
CANDIDATE,CANDIDATE,,12.37679312,143.3787176,,3.85,,,,
CONFIRMED,CANDIDATE,1,10.30401132,138.50377,0.017,4.2246,3.16E+02,1.84,122.98,53.8
FALSE POSITIVE,FALSE POSITIVE,0,2.171827838,355.083686,1.323,3.2205,4.21E+04,58.56,698.31,300.6
CANDIDATE,CANDIDATE,1,3.016182013,133.88395,0.732,2.8349,2.23E+02,2.25,1044.49,31.9
CONFIRMED,CANDIDATE,0.995,6.8833761,135.26522,0.075,2.2702,4.58E+02,1.69,127.67,28.1
FALSE POSITIVE,FALSE POSITIVE,0,0.833980196,133.68304,0.547,1.756,2.61E+02,1.45,2562.78,56.9
FALSE POSITIVE,FALSE POSITIVE,,69.62754202,176.3098622,,11.07,,,,
FALSE POSITIVE,FALSE POSITIVE,0,1.926353494,133.68077,0.767,2.5305,1.85E+02,1.33,1146.34,36.9
FALSE POSITIVE,FALSE POSITIVE,0,0.890737359,134.56707,1.146,1.9257,1.96E+02,20.57,3948.43,37.7
CONFIRMED,CANDIDATE,0.98,5.41908491,131.6422,0.536,2.3379,2.31E+02,1.38,225.71,20.2
CANDIDATE,CANDIDATE,1,7.01733571,133.90592,0.581,3.567,2.56E+02,1.61,221.46,15.5
CONFIRMED,CANDIDATE,1,6.91134223,136.64878,0.259,5.6743,2.02E+02,1.9,328.65,44
CONFIRMED,CANDIDATE,1,394.6249514,177.84534,0.336,24.108,2.01E+03,7.79,2.65,234.6
CONFIRMED,CANDIDATE,0.996,7.19304935,136.05065,0.017,3.407,2.55E+02,1.59,232.36,19
CONFIRMED,CANDIDATE,0.117,86.64764448,173.794641,0,4.2326,7.31E+03,9.4,7.28,241.9
CONFIRMED,CANDIDATE,0.997,36.33750453,160.39806,0.825,7.06,2.83E+03,5.3,16.36,96.8
CONFIRMED,CANDIDATE,1,14.64613058,136.5227,0.561,5.688,5.94E+02,2.22,54.95,30
CANDIDATE,CANDIDATE,0.96,148.272013,138.00557,0.883,4.192,1.71E+03,4.3,2.51,21.8
FALSE POSITIVE,FALSE POSITIVE,0,1.506507172,178.18515,1.226,4.5346,8.81E+02,13.4,97.56,86.7
FALSE POSITIVE,FALSE POSITIVE,0,1.634614356,133.96855,1.229,3.4422,1.98E+04,44.22,1597.73,376.5
FALSE POSITIVE,FALSE POSITIVE,0.002,16.02501898,367.693328,13.239,3.8828,2.91E+04,1069.01,44.01,257.8
CONFIRMED,CANDIDATE,1,10.50682978,360.082152,0.407,3.7769,1.34E+04,9.01,47.21,343.4
FALSE POSITIVE,FALSE POSITIVE,0,0.711966971,134.223486,1.268,2.0221,6.23E+03,33.34,2808.98,392.2
FALSE POSITIVE,FALSE POSITIVE,0,17.72724392,356.795528,0.825,4.1073,1.69E+04,14.77,71.06,109.7
CANDIDATE,CANDIDATE,0.677,321.2124365,206.930556,0.873,4.012,2.36E+03,7.25,2.17,81.7
FALSE POSITIVE,FALSE POSITIVE,0,7.13895376,184.24569,1.199,4.568,2.54E+02,49.96,1635,32.9
FALSE POSITIVE,FALSE POSITIVE,0,4.4645454,132.31538,0.808,2.8823,1.94E+02,3.07,1555.36,37.6
CONFIRMED,CANDIDATE,0.999,11.29689442,134.57233,0.634,4.623,1.99E+02,1.74,160.18,20.9
FALSE POSITIVE,FALSE POSITIVE,0.49,19.30112039,133.35614,0.862,6.0752,2.32E+02,1.66,47.49,45
FALSE POSITIVE,FALSE POSITIVE,0,1.20320092,133.929836,1.274,1.9197,2.81E+03,49.25,4809.16,250.8
CONFIRMED,CANDIDATE,1,5.968724048,137.158607,0.166,3.651,5.11E+02,3.26,579.9,107.1
FALSE POSITIVE,FALSE POSITIVE,0,10.9802462,137.1376073,0.733,3.74464,5.01E+04,21.94,107.47,1555.4
CONFIRMED,FALSE POSITIVE,0.041,2.144632238,133.984128,1.228,6.2701,1.98E+04,59.19,2146.82,334.8
FALSE POSITIVE,FALSE POSITIVE,0,27.32204488,159.7472774,0.257,5.6716,7.75E+04,21.58,18.81,3622.7
FALSE POSITIVE,FALSE POSITIVE,0,1.152216965,133.277861,0.811,2.2245,1.21E+04,187.73,183811.71,104.5
FALSE POSITIVE,FALSE POSITIVE,0,5.2972293,177.95111,0.022,3.799,1.21E+03,47.7,15961.1,31.8
CONFIRMED,CANDIDATE,1,133.460999,216.04334,0.249,11.4997,5.03E+03,11.21,8.29,162.3
CONFIRMED,CANDIDATE,0.992,5.188563677,145.362252,0.179,2.3683,3.59E+02,1,27.95,56.4
CANDIDATE,CANDIDATE,0.988,15.19423359,142.73422,0.906,3.106,3.68E+02,3.69,150.25,18.1
FALSE POSITIVE,FALSE POSITIVE,0,14.17098745,359.82956,0.041,3.4804,3.07E+03,4.19,32.22,93.6
FALSE POSITIVE,FALSE POSITIVE,0,31.9734169,133.86598,1.24,13.262,1.41E+03,24.1,9.01,62.5
CONFIRMED,CANDIDATE,1,3.990105908,355.840837,0.582,2.4108,6.15E+03,7.45,378.53,247.8
FALSE POSITIVE,FALSE POSITIVE,0,0.52205862,133.138446,1.24,2.0847,1.38E+03,27.16,3951.57,169
CONFIRMED,CANDIDATE,1,10.03538181,137.471481,0.079,3.4062,2.83E+03,4.42,90.33,150.9
FALSE POSITIVE,FALSE POSITIVE,0,53.10094262,135.9717179,0.988,2.2868,2.00E+04,24.02,10.93,1108.5
FALSE POSITIVE,FALSE POSITIVE,0,5.80181368,137.57807,0.967,4.119,2.70E+02,4.52,1168.82,35.3
FALSE POSITIVE,FALSE POSITIVE,0,15.6402515,359.07991,1.167,6.222,8.00E+02,18.11,39.55,19.3
FALSE POSITIVE,FALSE POSITIVE,0,0.691666384,135.94927,0.552,1.9603,3.56E+01,0.58,4014.57,20.8
CONFIRMED,CANDIDATE,1,5.62154315,136.89013,0.742,2.4143,1.72E+02,1.37,229.04,35.3
FALSE POSITIVE,FALSE POSITIVE,0,1.074106954,133.84323,0.122,1.9797,6.45E+01,0.52,588.96,48.5
FALSE POSITIVE,FALSE POSITIVE,0.005,5.117401517,134.586518,0.683,4.3056,6.29E+04,28.41,385.51,456.6
FALSE POSITIVE,FALSE POSITIVE,0.085,4.20233673,179.533899,0.004,3.6973,4.60E+04,23.53,570.87,258.8
CONFIRMED,CANDIDATE,0.986,8.50698069,134.64421,0.816,2.938,2.96E+02,1.9,155.42,20.7
FALSE POSITIVE,FALSE POSITIVE,0,15.60865244,144.29934,0.985,6.26,3.11E+02,6.17,958.55,46.9
CONFIRMED,CANDIDATE,1,0.669310092,134.131388,0.157,1.6274,1.32E+02,1.13,3643.96,75.3
FALSE POSITIVE,FALSE POSITIVE,0,4.494498254,134.77583,1.149,1.9742,2.48E+02,62.11,1824.84,39.3
CONFIRMED,CANDIDATE,0.979,44.9306706,140.2077,0.481,6.539,4.38E+02,2.49,24.17,33.8
CONFIRMED,CANDIDATE,1,14.13175309,142.26044,0.848,4.0136,1.03E+03,3.02,49.18,40.1
FALSE POSITIVE,FALSE POSITIVE,0,1.061934816,133.84801,1.25,3.2551,4.37E+02,25.72,1789.63,74.5
CONFIRMED,CANDIDATE,1,11.41926141,137.66894,0.242,3.9908,9.16E+02,1.48,7.32,58
FALSE POSITIVE,FALSE POSITIVE,0,5.93821065,136.52839,1.646,2.5128,5.23E+02,61.63,231.93,33.6
CANDIDATE,CANDIDATE,0.996,268.9410974,360.070904,0.765,5.4434,9.01E+03,13.57,2.52,120.4
FALSE POSITIVE,FALSE POSITIVE,0,0.655001616,133.176794,1.121,1.8136,2.71E+02,31.77,23595.49,104.5
CANDIDATE,CANDIDATE,0.909,80.9669561,160.97672,0.007,2.5276,4.73E+03,5.04,4.14,52
CONFIRMED,CANDIDATE,0.995,33.1996355,153.66086,0.017,5.022,1.11E+03,2.85,13.09,32.6
FALSE POSITIVE,FALSE POSITIVE,0,8.65306587,134.30886,1.222,4.486,1.05E+03,19.78,37.94,43
CANDIDATE,CANDIDATE,0.999,6.80082032,359.17999,0.597,1.9883,7.00E+02,1.88,55.83,25.5
CONFIRMED,CANDIDATE,1,19.30581662,373.18998,0.001,4.2902,7.09E+02,4,104.41,36.3
FALSE POSITIVE,FALSE POSITIVE,0.383,3.221785738,136.141517,0.777,3.3411,4.64E+04,25.03,800.37,336.4
FALSE POSITIVE,FALSE POSITIVE,0,0.6243875,133.0436541,1.157,1.92102,3.69E+04,29.45,1693.36,628.3
FALSE POSITIVE,FALSE POSITIVE,0,18.61009258,139.0850449,1.258,4.98308,5.08E+04,55.23,52.24,1309.3
CONFIRMED,CANDIDATE,1,13.22175358,139.570627,0.451,2.7884,8.77E+02,2.38,39.56,93.6
FALSE POSITIVE,FALSE POSITIVE,0,1.137525054,133.805565,1.238,2.68228,1.80E+04,42.74,2197.52,633.1
FALSE POSITIVE,FALSE POSITIVE,0,23.79993927,152.5654761,1.137,5.02319,6.02E+04,51.74,38.92,2065.8
CONFIRMED,CANDIDATE,0.998,7.16893064,135.67854,0.573,4.6766,1.13E+02,1.61,469.56,36.3
CANDIDATE,CANDIDATE,,54.325574,142.236,0.154,9.86,4.42E+01,0.76,20.85,7.7
CANDIDATE,CANDIDATE,,20.01959599,150.8362184,,7,,,,
FALSE POSITIVE,FALSE POSITIVE,0,1.22775877,133.78679,1.111,2.7545,4.61E+04,48.79,2809.86,292.7
FALSE POSITIVE,FALSE POSITIVE,0,40.24649897,161.306577,0.877,6.0203,1.59E+05,97.54,82.27,420.9
FALSE POSITIVE,FALSE POSITIVE,0.957,2.27999662,133.640649,0.739,5.7777,1.28E+04,20.74,3775.07,366.8
FALSE POSITIVE,FALSE POSITIVE,0.867,2.48658617,134.110364,0.079,2.7189,4.21E+04,24.39,1077.69,91.6
CONFIRMED,CANDIDATE,1,5.729317577,138.559971,0.597,1.1816,8.65E+02,2.41,123.03,59
CONFIRMED,CANDIDATE,1,11.77613232,142.705753,0.54,2.8971,1.43E+03,2.08,9.37,163.5
CONFIRMED,CANDIDATE,1,11.60908533,133.99324,0.03,2.2603,4.89E+02,1.71,48.06,34.1
CANDIDATE,CANDIDATE,1,162.0479502,278.880573,0.663,9.8974,4.84E+03,11.52,8.65,370.2
FALSE POSITIVE,FALSE POSITIVE,,0.530967162,133.849416,1.167,3.3659,2.45E+02,23.72,12644.75,125.5
CONFIRMED,CANDIDATE,0.927,40.05881661,169.91063,0.819,5.595,1.24E+03,3.43,13.57,62.6
CONFIRMED,CANDIDATE,0.999,6.09747233,354.05919,0.012,3.431,2.18E+02,2.22,485.84,17.4
CONFIRMED,CANDIDATE,0.991,56.637918,135.51975,0.298,6.172,5.90E+02,3.68,24.87,20.9
FALSE POSITIVE,FALSE POSITIVE,0,2.243016513,133.45086,0.737,2.721,3.00E+02,1.37,438.46,59.1
FALSE POSITIVE,FALSE POSITIVE,0,8.6531216,134.30147,1.214,4.39,6.55E+02,22.58,84.05,35.7
CONFIRMED,CANDIDATE,1,8.99088621,136.73923,0.77,4.2447,4.70E+02,2.78,200.35,93.6
FALSE POSITIVE,FALSE POSITIVE,0,34.06456641,150.452048,0.524,9.6114,2.85E+04,15.57,25,1305.9
FALSE POSITIVE,FALSE POSITIVE,0,4.350087749,134.800238,0.986,2.6428,2.36E+04,24.77,393.2,192.2
FALSE POSITIVE,FALSE POSITIVE,0,1.744101106,134.50867,0.618,1.5497,9.68E+03,7.21,251.54,152.6
FALSE POSITIVE,FALSE POSITIVE,0,7.981187121,133.802114,1.036,1.8071,7.61E+03,18.75,205.88,202.1
FALSE POSITIVE,FALSE POSITIVE,0.087,4.118775582,357.261244,0.754,3.76,2.65E+03,4.48,306.75,125.6
CANDIDATE,CANDIDATE,1,1.694740233,355.357543,0.671,1.6864,1.45E+03,2.12,95.14,92.3
FALSE POSITIVE,FALSE POSITIVE,0,0.971933156,133.853925,1.42,1.9265,4.79E+03,50.75,2240.48,223.1
FALSE POSITIVE,FALSE POSITIVE,0,121.5991278,137.27469,5.011,15.1596,1.05E+04,379.63,3.87,297
CANDIDATE,CANDIDATE,0,15.06806077,363.549714,0.88,3.3011,1.94E+04,16.43,71.78,282.8
CONFIRMED,CANDIDATE,1,7.886632468,360.514132,0.048,5.2147,6.33E+03,8.99,232.07,392.3
CONFIRMED,CANDIDATE,1,8.027681123,360.171355,0.495,3.0942,8.73E+03,8.43,109.35,461.5
CONFIRMED,CANDIDATE,,704.962626,492.77178,0.8495,18.003,2.32E+03,4.53,0.24,96.1
CONFIRMED,CANDIDATE,0.936,50.28635977,167.63351,0.018,6.3212,1.12E+03,3.88,20.59,99.5
CANDIDATE,CANDIDATE,1,22.79020351,138.68515,0.036,5.0394,6.18E+02,2.57,38.27,47.7
CANDIDATE,CANDIDATE,1,13.26079792,139.0988,0.22,3.912,1.99E+02,1.47,78.79,17.6
FALSE POSITIVE,FALSE POSITIVE,0,1.061932545,133.850441,0.713,2.1429,1.34E+02,2.29,9391.15,80.2
CONFIRMED,CANDIDATE,1,127.8334997,293.41845,0.416,10.914,1.83E+03,9.46,22.21,76.9
CONFIRMED,CANDIDATE,1,10.21864532,136.8622,0.416,3.802,4.45E+02,2.33,169.13,26.6
CONFIRMED,CANDIDATE,1,15.573637,132.44282,0.946,5.326,4.68E+02,2.94,96.38,24.7
CONFIRMED,CANDIDATE,1,40.1015561,132.71244,0.868,5.246,5.50E+02,2.92,27.31,19
CANDIDATE,CANDIDATE,1,4.45814897,134.39743,0.754,2.867,1.88E+02,1.61,511.6,14.3
FALSE POSITIVE,FALSE POSITIVE,0,5.663621501,133.89009,0.169,1.2968,1.23E+03,2.47,84.76,39.8
CANDIDATE,CANDIDATE,1,6.230335,181.29566,0.808,1.6493,1.45E+03,3.7,138.33,31.6
CONFIRMED,CANDIDATE,1,12.49340725,138.462232,0.594,2.2614,7.16E+02,2.2,42.08,76.2
CONFIRMED,CANDIDATE,1,6.62643441,183.98789,0.111,3.1752,8.15E+02,2.54,151.59,40.6
CONFIRMED,CANDIDATE,0.992,3.70122061,180.27172,0.178,2.523,3.27E+02,1.62,330.02,19.6
CANDIDATE,CANDIDATE,1,6.247030799,356.90972,0.039,1.4848,1.50E+03,1.89,16.23,44.8
CONFIRMED,CANDIDATE,1,13.73474071,142.32752,0.941,2.769,7.46E+02,2.71,38.11,31
CANDIDATE,CANDIDATE,,700.0029822,249.44205,0.143,7.6525,3.25E+03,6.43,0.76,60.3
CANDIDATE,CANDIDATE,,272.0868353,378.13721,0.3629,2.7145,5.57E+03,5.95,0.93,21.5
CONFIRMED,CANDIDATE,1,14.55387488,134.11669,0.955,6.973,3.20E+02,3.45,183.48,26.8
FALSE POSITIVE,FALSE POSITIVE,0,0.895277575,133.411986,0.928,2.711,5.35E+02,9.27,77480.31,132.1
CONFIRMED,CANDIDATE,0.976,81.0637895,139.53492,0.584,3.001,4.76E+02,3.01,16.12,19.4
CONFIRMED,CANDIDATE,1,24.8056775,145.07526,0.007,6.148,6.24E+02,2.16,28.22,39.4
CONFIRMED,CANDIDATE,1,13.02493307,138.176157,0.004,4.5706,7.78E+02,2.88,90.1,119.3
CONFIRMED,CANDIDATE,1,44.3471936,161.31738,0.273,6.43,7.92E+02,2.45,13,40.5
CONFIRMED,CANDIDATE,0.896,9.2207691,138.0072,0.037,4.907,1.40E+02,1.02,105.63,13.2
CONFIRMED,CANDIDATE,0.992,13.6396648,141.7301,0.105,5.425,1.63E+02,1.1,62.6,13.3
CONFIRMED,CANDIDATE,1,1.922799706,134.50174,0.036,1.8604,2.60E+02,1.28,514.44,30.1
CONFIRMED,CANDIDATE,1,3.222975318,178.0701,0.33,2.9247,2.33E+02,1.47,558.65,31.3
CANDIDATE,CANDIDATE,0.999,42.0370662,178.25006,0.672,6.282,2.67E+02,1.66,18.16,14.7
CANDIDATE,CANDIDATE,0.754,21.0112068,132.6336,0.853,4.507,1.64E+02,1.4,45.79,10.2
CONFIRMED,CANDIDATE,1,4.16811839,134.89621,0.709,2.8084,2.63E+02,2.28,628.73,26.7
CANDIDATE,CANDIDATE,1,5.82348911,354.99602,0.877,2.2441,8.89E+02,3,196.33,38.1
CANDIDATE,CANDIDATE,1,8.75059775,358.24233,0.33,2.8288,8.82E+02,2.27,51,28.3
FALSE POSITIVE,FALSE POSITIVE,0,9.41475056,142.32936,1.148,4.736,4.83E+02,19.33,202.58,55.2
FALSE POSITIVE,FALSE POSITIVE,,0.56669006,133.81294,0.7102,2.1674,1.05E+02,1.52,18023.71,53.8
CONFIRMED,CANDIDATE,1,7.13969705,137.18652,0.027,3.981,5.13E+02,2.24,205.23,27.8
CONFIRMED,CANDIDATE,1,18.75470238,141.7172,0.034,3.0331,9.95E+02,1.67,5.03,33.2
FALSE POSITIVE,FALSE POSITIVE,0.001,3.00363219,135.64129,0.727,3.732,1.01E+02,1.43,1441.44,38.5
CONFIRMED,CANDIDATE,0.997,11.30123036,134.91855,0.117,4.022,2.77E+02,1.85,124.42,18.5
FALSE POSITIVE,FALSE POSITIVE,0,0.796722833,133.07985,0.601,2.4551,1.07E+02,1.44,7844.64,43.9
CONFIRMED,CANDIDATE,1,4.24153629,133.45522,0.257,2.971,1.88E+02,1.44,452.95,18
CONFIRMED,CANDIDATE,1,17.32419108,142.09977,0.764,8.045,2.41E+02,3.14,204.1,49.1
CONFIRMED,CANDIDATE,1,14.37457572,138.20189,0.035,4.7892,3.36E+02,1.94,87.24,55.2
CONFIRMED,CANDIDATE,0.971,9.65188331,132.15947,0.122,4.296,1.03E+02,1.08,148.32,19.8
FALSE POSITIVE,FALSE POSITIVE,0,6.0990118,135.52357,0.688,3.6112,2.28E+02,3.16,842.53,39.3
CANDIDATE,CANDIDATE,0.989,49.4781446,141.82465,0.048,2.493,4.97E+02,1.88,10.73,20.4
CONFIRMED,CANDIDATE,0.998,30.8639476,162.88077,0.907,8.864,2.57E+02,3.01,72.05,63
CONFIRMED,CANDIDATE,1,2.403640701,134.73065,0.918,1.4012,7.49E+01,1.24,1164.85,16.3
FALSE POSITIVE,FALSE POSITIVE,0,2.90060781,179.83386,0.47,2.563,1.25E+02,1.58,1727.31,20.6
CONFIRMED,CANDIDATE,1,4.51436096,134.0293,0.118,3.0083,2.31E+02,1.84,543.73,28.4
CONFIRMED,CANDIDATE,0.808,3.77359871,134.07013,0,2.7282,1.76E+02,1.29,614.52,25.6
CONFIRMED,CANDIDATE,1,8.18182189,134.81423,0.655,2.4566,3.00E+02,1.77,218.9,27.4
CONFIRMED,CANDIDATE,0.999,13.32389352,135.24585,0.073,3.2208,7.81E+02,1.26,4.83,25.9
CONFIRMED,CANDIDATE,1,4.919584997,134.602396,0.243,4.1988,4.26E+02,2.86,702.13,132
CONFIRMED,CANDIDATE,0.996,11.41911886,186.30498,0.947,5.135,5.09E+02,3.32,170.33,23.7
CONFIRMED,CANDIDATE,1,11.36113254,136.92584,0.734,4.1886,5.70E+02,2.6,134.97,57
FALSE POSITIVE,FALSE POSITIVE,,1.3866358,134.3472,0.3783,4.77,7.01E+01,0.72,1205.94,6.8
CANDIDATE,CANDIDATE,1,14.53410833,145.42643,0.766,3.3094,5.11E+02,1.36,7.34,32.5
CONFIRMED,CANDIDATE,0.999,33.0063185,145.38821,0.39,7.118,2.78E+02,3.13,86.38,38.2
CONFIRMED,CANDIDATE,1,11.13127159,134.36341,0.01,4.2372,2.11E+02,2.06,194.31,36.8
FALSE POSITIVE,FALSE POSITIVE,0,3.47143963,133.74061,0.719,3.663,9.98E+01,1.19,805.05,27.5
CONFIRMED,CANDIDATE,0.999,29.6193891,133.68205,0.046,4.9595,3.15E+02,1.74,26.79,42.5
